TAGID,Date,Area,H2,O2,N2,C2H2,C2H4,C2H6,CH4,CO
700TR001B,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR001B,22/12/2022,GSP1,6,8148,26110,0,0,0,4,240
700TR001B,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR001B,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,21/11/2021,GSP1,4,26274,64953,0,34,0,4,191
700TR001B,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR001B,23/11/2020,GSP1,3,10314,24471,0,14,0,1,55
700TR001B,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR001B,28/11/2019,GSP1,2,8680,25046,0,32,1,2,58
700TR001B,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR001B,11/12/2018,GSP1,0,25932,61493,0,48,0,1,198
700TR001B,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR001B,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR001B,14/12/2017,GSP1,0,22321,53442,0,45,0,2,233
700TR001B,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR001B,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR001B,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR001B,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR001A,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR001A,22/12/2022,GSP1,0,23884,58394,0,49,0,3,202
700TR001A,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR001A,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,21/11/2021,GSP1,3,24951,61327,0,40,0,4,195
700TR001A,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR001A,23/11/2020,GSP1,0,10089,23971,0,20,0,2,62
700TR001A,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR001A,28/11/2019,GSP1,0,8897,25677,0,55,0,2,102
700TR001A,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR001A,11/12/2018,GSP1,0,25328,61151,0,59,0,2,242
700TR001A,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR001A,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR001A,14/12/2017,GSP1,0,23693,56540,0,52,0,2,220
700TR001A,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR001A,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR001A,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR001A,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR002A,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR002A,22/12/2022,GSP1,46,28234,61724,0,17,0,2,47
700TR002A,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR002A,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,23/11/2021,GSP1,0,12427,26579,0,6,0,2,18
700TR002A,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,21/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR002A,23/11/2020,GSP1,0,12427,26579,0,6,0,2,18
700TR002A,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR002A,28/11/2019,GSP1,0,9701,24073,0,11,0,1,21
700TR002A,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR002A,11/12/2018,GSP1,0,27753,58213,0,10,0,0,38
700TR002A,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR002A,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR002A,14/12/2017,GSP1,0,24552,51260,0,7,0,0,40
700TR002A,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR002A,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR002A,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR002A,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR002B,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR002B,22/12/2022,GSP1,20,26435,58256,0,33,0,3,62
700TR002B,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR002B,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,21/11/2021,GSP1,0,28522,63604,0,22,0,3,59
700TR002B,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR002B,23/11/2020,GSP1,0,12451,26210,0,12,0,2,23
700TR002B,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR002B,28/11/2019,GSP1,0,9186,22813,0,25,0,1,29
700TR002B,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR002B,11/12/2018,GSP1,0,27197,59231,0,27,0,0,67
700TR002B,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR002B,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR002B,14/12/2017,GSP1,0,21426,45937,0,29,0,0,59
700TR002B,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR002B,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR002B,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR002B,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR003A,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR003A,22/12/2022,GSP1,46,29260,66688,0,165,48,5,58
700TR003A,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR003A,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,21/11/2021,GSP1,0,31647,67293,2,258,63,27,43
700TR003A,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR003A,23/11/2020,GSP1,0,12636,25968,0,286,68,106,18
700TR003A,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR003A,28/11/2019,GSP1,0,9692,23589,0,11,0,1,24
700TR003A,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR003A,11/12/2018,GSP1,0,28406,59411,0,7,0,0,46
700TR003A,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR003A,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR003A,14/12/2017,GSP1,0,23030,48375,0,6,0,0,44
700TR003A,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR003A,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR003A,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR003A,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR003B,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR003B,22/12/2022,GSP1,33,28657,64349,0,29,0,2,68
700TR003B,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR003B,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,21/11/2021,GSP1,0,28980,61651,0,25,0,3,54
700TR003B,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR003B,23/11/2020,GSP1,0,12822,27553,0,13,0,2,22
700TR003B,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR003B,28/11/2019,GSP1,0,10916,29209,0,27,0,1,29
700TR003B,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR003B,11/12/2018,GSP1,0,25576,54741,0,26,0,1,56
700TR003B,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR003B,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR003B,14/12/2017,GSP1,0,27035,57742,0,27,0,0,60
700TR003B,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR003B,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR003B,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR003B,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR004A,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR004A,22/12/2022,GSP1,0,28819,67761,0,4,0,4,196
700TR004A,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR004A,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,21/11/2021,GSP1,5,30893,71022,0,3,0,5,151
700TR004A,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR004A,23/11/2020,GSP1,0,11858,26155,0,1,0,2,47
700TR004A,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR004A,28/11/2019,GSP1,4,9569,26845,0,1,1,3,88
700TR004A,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR004A,11/12/2018,GSP1,-,-,-,-,-,-,-,-
700TR004A,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR004A,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR004A,14/12/2017,GSP1,0,24674,50976,0,7,0,0,33
700TR004A,14/12/2016,GSP1,0,28889,60530,0,6,0,0,37
700TR004A,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR004A,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR004A,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR004B,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR004B,22/12/2022,GSP1,0,29814,66968,0,20,0,2,42
700TR004B,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR004B,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,21/11/2021,GSP1,0,30018,62845,0,17,0,3,40
700TR004B,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR004B,23/11/2020,GSP1,0,13213,28028,0,9,0,1,18
700TR004B,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR004B,28/11/2019,GSP1,0,10199,24820,0,18,0,1,24
700TR004B,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR004B,11/12/2018,GSP1,0,28118,61800,0,14,0,0,15
700TR004B,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR004B,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR004B,14/12/2017,GSP1,0,22757,47324,0,14,0,0,44
700TR004B,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR004B,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR004B,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR004B,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR006,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR006,22/12/2022,GSP1,14,28178,73976,0,5,0,4,256
700TR006,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR006,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,21/11/2021,GSP1,10,27315,65132,0,4,0,4,209
700TR006,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR006,23/11/2020,GSP1,0,11036,25863,0,2,0,2,52
700TR006,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR006,28/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR006,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR006,11/12/2018,GSP1,-,-,-,-,-,-,-,-
700TR006,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR006,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR006,14/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR006,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR006,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR006,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR006,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR007,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR007,22/12/2022,GSP1,3169,8465,70133,0,2,60,416,292
700TR007,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR007,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,21/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR007,23/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR007,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR007,28/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR007,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR007,11/12/2018,GSP1,-,-,-,-,-,-,-,-
700TR007,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR007,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR007,14/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR007,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR007,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR007,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR007,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
700TR005,23/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR005,22/12/2022,GSP1,14,22682,63452,0,34,1,5,478
700TR005,21/12/2022,GSP1,-,-,-,-,-,-,-,-
700TR005,24/12/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,25/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,24/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,23/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,22/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,21/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,20/11/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,15/7/2021,GSP1,-,-,-,-,-,-,-,-
700TR005,23/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR005,22/11/2020,GSP1,-,-,-,-,-,-,-,-
700TR005,28/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR005,13/11/2019,GSP1,-,-,-,-,-,-,-,-
700TR005,11/12/2018,GSP1,-,-,-,-,-,-,-,-
700TR005,25/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR005,15/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR005,14/12/2017,GSP1,-,-,-,-,-,-,-,-
700TR005,14/12/2016,GSP1,-,-,-,-,-,-,-,-
700TR005,23/11/2015,GSP1,-,-,-,-,-,-,-,-
700TR005,29/1/2015,GSP1,-,-,-,-,-,-,-,-
700TR005,25/11/2013,GSP1,-,-,-,-,-,-,-,-
,,,,,,,,,,
796TR001A,23/12/2022,GSP2,-,-,-,-,-,-,-,-
796TR001A,22/12/2022,GSP2,-,-,-,-,-,-,-,-
796TR001A,21/12/2022,GSP2,0,25059,60906,0,39,1,3,226
796TR001A,24/12/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,25/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,24/11/2021,GSP2,5,25701,61519,0,33,2,5,210
796TR001A,23/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,22/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,21/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,20/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,15/7/2021,GSP2,-,-,-,-,-,-,-,-
796TR001A,23/11/2020,GSP2,0,10022,22587,0,20,1,4,93
796TR001A,22/11/2020,GSP2,-,-,-,-,-,-,-,-
796TR001A,28/11/2019,GSP2,2,10053,29629,0,21,3,3,108
796TR001A,13/11/2019,GSP2,-,-,-,-,-,-,-,-
796TR001A,11/12/2018,GSP2,0,22526,56618,0,16,0,4,202
796TR001A,25/12/2017,GSP2,-,-,-,-,-,-,-,-
796TR001A,15/12/2017,GSP2,-,-,-,-,-,-,-,-
796TR001A,14/12/2017,GSP2,0,20257,47187,0,21,0,0,224
796TR001A,14/12/2016,GSP2,-,-,-,-,-,-,-,-
796TR001A,23/11/2015,GSP2,-,-,-,-,-,-,-,-
796TR001A,29/1/2015,GSP2,-,-,-,-,-,-,-,-
796TR001A,25/11/2013,GSP2,-,-,-,-,-,-,-,-
,,,,,,,,,,
796TR001B,23/12/2022,GSP2,-,-,-,-,-,-,-,-
796TR001B,22/12/2022,GSP2,-,-,-,-,-,-,-,-
796TR001B,21/12/2022,GSP2,0,23712,60908,0,57,3,5,274
796TR001B,24/12/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,25/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,24/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,23/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,22/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,21/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,20/11/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,15/7/2021,GSP2,-,-,-,-,-,-,-,-
796TR001B,23/11/2020,GSP2,0,9477,25612,0,27,2,3,160
796TR001B,22/11/2020,GSP2,-,-,-,-,-,-,-,-
796TR001B,28/11/2019,GSP2,3,8897,30217,0,24,3,3,178
796TR001B,13/11/2019,GSP2,-,-,-,-,-,-,-,-
796TR001B,11/12/2018,GSP2,0,22005,61435,0,14,0,3,270
796TR001B,25/12/2017,GSP2,-,-,-,-,-,-,-,-
796TR001B,15/12/2017,GSP2,-,-,-,-,-,-,-,-
796TR001B,14/12/2017,GSP2,0,18363,44127,0,68,14,16,0
796TR001B,14/12/2016,GSP2,0,28636,58410,0,51,11,0,23
796TR001B,23/11/2015,GSP2,-,-,-,-,-,-,-,-
796TR001B,29/1/2015,GSP2,-,-,-,-,-,-,-,-
796TR001B,25/11/2013,GSP2,-,-,-,-,-,-,-,-
,,,,,,,,,,
797TR011,23/12/2022,GSP2,-,-,-,-,-,-,-,-
797TR011,22/12/2022,GSP2,22,9005,56721,0,84,0,6,872
797TR011,21/12/2022,GSP2,-,-,-,-,-,-,-,-
797TR011,24/12/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,25/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,24/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,23/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,22/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,21/11/2021,GSP2,14,13756,67539,0,64,0,6,774
797TR011,20/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,15/7/2021,GSP2,-,-,-,-,-,-,-,-
797TR011,23/11/2020,GSP2,5,6759,31010,0,31,0,3,275
797TR011,22/11/2020,GSP2,-,-,-,-,-,-,-,-
797TR011,28/11/2019,GSP2,7,5519,29057,0,35,0,3,339
797TR011,13/11/2019,GSP2,-,-,-,-,-,-,-,-
797TR011,11/12/2018,GSP2,0,15100,59749,0,25,0,2,566
797TR011,25/12/2017,GSP2,-,-,-,-,-,-,-,-
797TR011,15/12/2017,GSP2,-,-,-,-,-,-,-,-
797TR011,14/12/2017,GSP2,18,10132,55258,0,51,0,3,0
797TR011,14/12/2016,GSP2,-,-,-,-,-,-,-,-
797TR011,23/11/2015,GSP2,-,-,-,-,-,-,-,-
797TR011,29/1/2015,GSP2,-,-,-,-,-,-,-,-
797TR011,25/11/2013,GSP2,-,-,-,-,-,-,-,-
,,,,,,,,,,
797TR012,23/12/2022,GSP2,-,-,-,-,-,-,-,-
797TR012,22/12/2022,GSP2,-,-,-,-,-,-,-,-
797TR012,21/12/2022,GSP2,14,4230,65763,0,71,1,9,979
797TR012,24/12/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,25/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,24/11/2021,GSP2,12,4397,67595,0,62,1,10,904
797TR012,23/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,22/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,21/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,20/11/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,15/7/2021,GSP2,-,-,-,-,-,-,-,-
797TR012,23/11/2020,GSP2,6,2922,29219,0,42,1,4,395
797TR012,22/11/2020,GSP2,-,-,-,-,-,-,-,-
797TR012,28/11/2019,GSP2,4,3657,28459,0,41,1,4,394
797TR012,13/11/2019,GSP2,-,-,-,-,-,-,-,-
797TR012,11/12/2018,GSP2,0,14413,66232,0,33,0,4,594
797TR012,25/12/2017,GSP2,-,-,-,-,-,-,-,-
797TR012,15/12/2017,GSP2,-,-,-,-,-,-,-,-
797TR012,14/12/2017,GSP2,16,3619,42916,0,38,0,5,0
797TR012,14/12/2016,GSP2,-,-,-,-,-,-,-,-
797TR012,23/11/2015,GSP2,-,-,-,-,-,-,-,-
797TR012,29/1/2015,GSP2,-,-,-,-,-,-,-,-
797TR012,25/11/2013,GSP2,-,-,-,-,-,-,-,-
,,,,,,,,,,
3328TR001A,23/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR001A,22/12/2022,GSP3,-,-,-,-,-,-,-,-
3328TR001A,21/12/2022,GSP3,22,21843,55433,0,76,20,4,185
3328TR001A,24/12/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,25/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,24/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,22/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,21/11/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,20/11/2021,GSP3,14,26374,65965,3,118,26,8,141
3328TR001A,15/7/2021,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2020,GSP3,13,9285,26909,0,131,25,9,113
3328TR001A,22/11/2020,GSP3,-,-,-,-,-,-,-,-
3328TR001A,28/11/2019,GSP3,10,6584,23437,0,248,43,35,106
3328TR001A,13/11/2019,GSP3,-,-,-,-,-,-,-,-
3328TR001A,11/12/2018,GSP3,28,20413,58728,3,525,71,260,169
3328TR001A,25/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001A,15/12/2017,GSP3,-,-,-,-,-,-,-,-
3328TR001A,14/12/2017,GSP3,21,19602,53854,0,31,6,3,216
3328TR001A,14/12/2016,GSP3,-,-,-,-,-,-,-,-
3328TR001A,23/11/2015,GSP3,-,-,-,-,-,-,-,-
3328TR001A,29/1/2015,GSP3,-,-,-,-,-,-,-,-
